Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Part des 45-59 ans 2019
02438;Longpont;24.1
02439;Les Septvallons;20.5
02440;Lor;18.7
02441;Louâtre;19.6
02442;Loupeigne;30.8
02443;Lucy-le-Bocage;24.1
02444;Lugny;18.5
02445;Luzoir;18.3
02446;Ly-Fontaine;28
02447;Maast-et-Violaine;25.2
02448;Mâchecourt;21.3
02449;Macogny;25.8
02450;Macquigny;23.3
02451;Magny-la-Fosse;18.3
02452;Maissemy;21.3
02453;Maizy;22.8
02454;La Malmaison;17.6
02455;Malzy;25.2
02456;Manicamp;24.9
02457;Marchais;23.9
02458;Dhuys et Morin-en-Brie;23.2
02459;Marcy;28.2
02460;Marcy-sous-Marle;22.8
02461;Marest-Dampcourt;19.8
02462;Mareuil-en-Dôle;17.2
02463;Marfontaine;13.1
02464;Margival;23.4
02465;Marigny-en-Orxois;21.8
02466;Marizy-Sainte-Geneviève;16.8
02467;Marizy-Saint-Mard;35.3
02468;Marle;20
02469;Marly-Gomont;19.7
02470;Martigny;17.4
02471;Martigny-Courpierre;23
02472;Mauregny-en-Haye;16.8
02473;Mayot;18.3
02474;Mennessis;19
02476;Mennevret;19.9
02477;Mercin-et-Vaux;21.9
02478;Merlieux-et-Fouquerolles;19.9
02480;Mesbrecourt-Richecourt;23.4
02481;Mesnil-Saint-Laurent;25.2
02482;Meurival;20.4
02483;Mézières-sur-Oise;23.7
02484;Mézy-Moulins;17.3
02485;Missy-aux-Bois;24.2
02486;Missy-lès-Pierrepont;19.6
02487;Missy-sur-Aisne;25.8
02488;Molain;13.3
02489;Molinchart;20.4
02490;Monampteuil;23.4
02491;Monceau-le-Neuf-et-Faucouzy;23.5
02492;Monceau-lès-Leups;23.8
02493;Monceau-le-Waast;15.2
02494;Monceau-sur-Oise;18.1
02495;Mondrepuis;20.8
02496;Monnes;23.5
02497;Mons-en-Laonnois;19.8
02498;Montaigu;18.7
02499;Montbavin;18.2
02500;Montbrehain;21
02501;Montchâlons;17.9
02502;Montcornet;22.2
02503;Mont-d'Origny;19.4
02504;Montescourt-Lizerolles;17.9
02505;Montfaucon;17.2
02506;Montgobert;24.5
02507;Montgru-Saint-Hilaire;15.2
02508;Monthenault;16
02509;Monthiers;25.5
02510;Monthurel;25.7
02511;Montigny-en-Arrouaise;23.8
02512;Montigny-l'Allier;21
02513;Montigny-le-Franc;22.3
02514;Montigny-Lengrain;25.6
02515;Montigny-lès-Condé;20
02516;Montigny-sous-Marle;12.1
02517;Montigny-sur-Crécy;18
02518;Montlevon;23.1
02519;Montloué;21.5
02520;Mont-Notre-Dame;18.1
02521;Montreuil-aux-Lions;19.6
02522;Mont-Saint-Jean;13.3
02523;Mont-Saint-Martin;23.6
02524;Mont-Saint-Père;22.1
02525;Morcourt;21.7
02526;Morgny-en-Thiérache;24.2
02527;Morsain;19
02528;Mortefontaine;27.2
02529;Mortiers;22.3
02530;Moulins;23.1
02531;Moussy-Verneuil;21.8
