Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
02353;Grandlup-et-Fay;20750
02354;Grandrieux;N/A
02355;Gricourt;23680
02356;Grisolles;21030
02357;Gronard;N/A
02358;Grougis;19400
02359;Grugies;21540
02360;Villeneuve-sur-Aisne;22560
02361;Guise;17300
02362;Guivry;24430
02363;Guny;19080
02364;Guyencourt;24470
02366;Hannapes;18910
02367;Happencourt;21170
02368;Haramont;21950
02369;Harcigny;19060
02370;Hargicourt;21830
02371;Harly;20920
02372;Hartennes-et-Taux;22460
02373;Hary;22210
02374;Lehaucourt;20300
02375;Hautevesnes;22800
02376;Hauteville;20360
02377;Haution;19790
02378;La Hérie;18340
02379;Le Hérie-la-Viéville;20330
02380;Hinacourt;N/A
02381;Hirson;16280
02382;Holnon;23230
02383;Homblières;24170
02384;Houry;N/A
02385;Housset;18340
02386;Iron;19940
02387;Itancourt;24220
02388;Iviers;17980
02389;Jaulgonne;21720
02390;Jeancourt;22030
02391;Jeantes;19980
02392;Joncourt;22740
02393;Jouaignes;22730
02395;Jumencourt;21550
02396;Jumigny;N/A
02397;Jussy;20880
02398;Juvigny;21110
02399;Juvincourt-et-Damary;22360
02400;Laffaux;21820
02401;Laigny;22670
02402;Lanchy;N/A
02403;Landifay-et-Bertaignemont;19490
02404;Landouzy-la-Cour;20340
02405;Landouzy-la-Ville;20650
02406;Landricourt;24570
02407;Laniscourt;23210
02408;Laon;17580
02409;Lappion;19120
02410;Largny-sur-Automne;25590
02411;Latilly;21310
02412;Launoy;N/A
02413;Laval-en-Laonnois;23000
02414;Lavaqueresse;22000
02415;Laversine;25510
02416;Lemé;19520
02417;Lempire;19120
02418;Lerzy;21020
02419;Leschelle;24100
02420;Lesdins;24540
02421;Lesges;N/A
02422;Lesquielles-Saint-Germain;18860
02423;Leuilly-sous-Coucy;21580
02424;Leury;22120
02425;Leuze;19120
02426;Levergies;22330
02427;Lhuys;20720
02428;Licy-Clignon;N/A
02429;Lierval;23440
02430;Liesse-Notre-Dame;19850
02431;Liez;21480
02432;Limé;21250
02433;Lislet;20390
02435;Logny-lès-Aubenton;N/A
02438;Longpont;23940
02439;Les Septvallons;20690
02440;Lor;19530
02441;Louâtre;24300
02442;Loupeigne;N/A
02443;Lucy-le-Bocage;25460
02444;Lugny;20040
02445;Luzoir;21870
02446;Ly-Fontaine;22620
02447;Maast-et-Violaine;18950
02448;Mâchecourt;21570
02449;Macogny;N/A
02450;Macquigny;17270
02451;Magny-la-Fosse;19120
02452;Maissemy;22490
02453;Maizy;21890
02454;La Malmaison;20650
02455;Malzy;21420
02456;Manicamp;19660
02457;Marchais;19120
02458;Dhuys et Morin-en-Brie;22470
