Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
02345;Gibercourt;15.24
02346;Gizy;64.78
02347;Gland;78.58
02349;Goudelancourt-lès-Berrieux;10.11
02350;Goudelancourt-lès-Pierrepont;15.58
02351;Goussancourt;13.4
02352;Gouy;31.82
02353;Grandlup-et-Fay;14.14
02354;Grandrieux;18.39
02355;Gricourt;96.07
02356;Grisolles;22.58
02357;Gronard;10
02358;Grougis;29.57
02359;Grugies;256.1
02360;Villeneuve-sur-Aisne;109.91
02361;Guise;287.97
02362;Guivry;33.29
02363;Guny;41.85
02364;Guyencourt;61.43
02366;Hannapes;35.37
02367;Happencourt;25.1
02368;Haramont;46.9
02369;Harcigny;31.97
02370;Hargicourt;75.12
02371;Harly;419.68
02372;Hartennes-et-Taux;54.99
02373;Hary;17.84
02374;Lehaucourt;91.89
02375;Hautevesnes;21.81
02376;Hauteville;24.51
02377;Haution;14.45
02378;La Hérie;30.57
02379;Le Hérie-la-Viéville;22.55
02380;Hinacourt;7.77
02381;Hirson;257.92
02382;Holnon;214.6
02383;Homblières;101.61
02384;Houry;16.09
02385;Housset;12.12
02386;Iron;23.66
02387;Itancourt;142.76
02388;Iviers;30.2
02389;Jaulgonne;370.22
02390;Jeancourt;45.36
02391;Jeantes;13.2
02392;Joncourt;42.9
02393;Jouaignes;17.98
02395;Jumencourt;22.74
02396;Jumigny;25.7
02397;Jussy;93.64
02398;Juvigny;20.51
02399;Juvincourt-et-Damary;20.36
02400;Laffaux;21.89
02401;Laigny;17.91
02402;Lanchy;10.03
02403;Landifay-et-Bertaignemont;13.27
02404;Landouzy-la-Cour;18.77
02405;Landouzy-la-Ville;33.95
02406;Landricourt;22.64
02407;Laniscourt;66.33
02408;Laon;578.67
02409;Lappion;11.3
02410;Largny-sur-Automne;25.6
02411;Latilly;21.78
02412;Launoy;10.99
02413;Laval-en-Laonnois;54.1
02414;Lavaqueresse;45.27
02415;Laversine;22.16
02416;Lemé;36.97
02417;Lempire;44.27
02418;Lerzy;19.32
02419;Leschelle;18.31
02420;Lesdins;77.99
02421;Lesges;15.94
02422;Lesquielles-Saint-Germain;49.66
02423;Leuilly-sous-Coucy;33.25
02424;Leury;28.18
02425;Leuze;16.88
02426;Levergies;70.4
02427;Lhuys;27.88
02428;Licy-Clignon;18.09
02429;Lierval;32.36
02430;Liesse-Notre-Dame;128.61
02431;Liez;70.28
02432;Limé;34.05
02433;Lislet;26.95
02435;Logny-lès-Aubenton;9.69
02438;Longpont;22.76
02439;Les Septvallons;30.86
02440;Lor;15.56
02441;Louâtre;17.06
02442;Loupeigne;12.33
02443;Lucy-le-Bocage;26.19
02444;Lugny;25.37
02445;Luzoir;25.66
02446;Ly-Fontaine;34.01
02447;Maast-et-Violaine;13.41
02448;Mâchecourt;12
02449;Macogny;10.7
02450;Macquigny;18.14
02451;Magny-la-Fosse;34.16
